app_name,date,status,description,the_google_play_download_category,estimated_total_number_of_downloads,estimated_number_of_downloads_over_the_last_30_days,average_rating_and_total_number_of_ratings,number_of_libraries_used_in_the_app,minimum_necessary_android_version,date_of_the_last_update,date_of_the_app_launch,size_of_the_apk,google_play_content_rating,price_of_the_app,star_5,star_4,star_3,star_2,star_1
com.virtualapps.statuswall,"Mar 14, 2020",Update,Version 1.8,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Feb 24, 2020",Update,Version 1.6,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Feb 5, 2020",Installs,"10,000+ installs",10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Dec 25, 2019",Installs,"5,000+ installs",10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Nov 27, 2019",Installs,"1,000+ installs",10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Nov 21, 2019",Update,Version 1.5,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Nov 13, 2019",Installs,500+ installs,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Oct 30, 2019",Installs,100+ installs,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Oct 23, 2019",Update,Version 1.4,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Oct 18, 2019",Update,Version 1.2,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
com.virtualapps.statuswall,"Oct 10, 2019",New App,Version 1.1 in ENTERTAINMENT for Free,10+ Thousand Downloads,50 Thousand Est. downloads,9 Thousand Recent d/loads,3.59 187 Rating,23 Libraries,4.4+ Android version,3/14/20 Last updated,2019 October App age,7.02 MB App size,Everyone Content rating,FREE Price,110,7,5,9,54
